calificacion,estudiante
10,Roberto
10,Jimena
10,Roberto
10,Flor
10,Alberto
10,Flor
9,Flor
9,Roberto
9,Flor
9,Jimena
8,Jimena
8,Flor
8,Juan
8,Jimena
8,Roberto
8,Alberto
8,Juan
8,Jimena
8,Jimena
8,Juan
8,Roberto
8,Roberto
8,Flor
8,Flor
8,Jimena
8,Juan
8,Flor
8,Flor
8,Juan
8,Roberto
8,Roberto
8,Jimena
8,Roberto
8,Jimena
8,Jimena
8,Flor
8,Alberto
8,Juan
8,Roberto
8,Jimena
8,Jimena
8,Flor
8,Flor
8,Alberto
8,Juan
8,Roberto
8,Juan
8,Roberto
8,Flor
8,Roberto
8,Alberto
8,Alberto
8,Roberto
8,Roberto
8,Flor
8,Alberto
8,Roberto
8,Juan
8,Jimena
8,Alberto
8,Roberto
8,Alberto
8,Flor
8,Alberto
7,Flor
7,Roberto
7,Roberto
7,Jimena
7,Juan
7,Flor
7,Roberto
7,Alberto
7,Alberto
7,Juan
7,Roberto
7,Roberto
7,Alberto
7,Juan
7,Roberto
7,Flor
7,Jimena
7,Flor
7,Jimena
7,Roberto
7,Roberto
7,Flor
7,Roberto
7,Jimena
7,Roberto
7,Jimena
7,Alberto
7,Flor
7,Jimena
7,Flor
7,Juan
7,Flor
7,Flor
7,Alberto
7,Flor
7,Juan
7,Roberto
7,Juan
7,Jimena
7,Roberto
7,Jimena
7,Jimena
7,Jimena
7,Flor
7,Alberto
7,Flor
7,Roberto
7,Juan
7,Juan
7,Juan
7,Juan
7,Juan
7,Jimena
7,Flor
7,Flor
7,Flor
7,Roberto
7,Jimena
7,Jimena
7,Juan
7,Roberto
7,Flor
7,Alberto
7,Roberto
7,Flor
7,Jimena
6,Flor
6,Alberto
6,Alberto
6,Flor
6,Jimena
6,Alberto
6,Jimena
6,Juan
6,Jimena
6,Juan
6,Alberto
6,Juan
6,Alberto
6,Juan
6,Juan
6,Jimena
6,Roberto
6,Jimena
6,Roberto
6,Flor
6,Juan
6,Alberto
6,Jimena
6,Flor
6,Alberto
6,Jimena
6,Roberto
6,Jimena
6,Flor
6,Flor
6,Jimena
6,Flor
6,Jimena
6,Roberto
6,Alberto
6,Roberto
6,Flor
6,Flor
6,Jimena
6,Roberto
6,Roberto
6,Alberto
6,Roberto
6,Flor
6,Flor
6,Juan
6,Jimena
6,Juan
6,Juan
6,Alberto
6,Juan
6,Flor
6,Juan
6,Juan
6,Alberto
6,Jimena
6,Roberto
6,Alberto
6,Flor
6,Roberto
6,Flor
6,Roberto
6,Alberto
6,Alberto
6,Juan
6,Juan
6,Jimena
6,Juan
6,Alberto
6,Juan
6,Alberto
6,Flor
6,Flor
6,Alberto
6,Juan
6,Juan
6,Juan
6,Roberto
6,Roberto
6,Alberto
6,Jimena
6,Roberto
6,Jimena
6,Alberto
6,Flor
6,Flor
6,Alberto
6,Roberto
6,Jimena
6,Roberto
6,Alberto
6,Jimena
6,Flor
6,Flor
6,Roberto
6,Roberto
6,Juan
6,Flor
6,Flor
6,Juan
6,Roberto
6,Roberto
6,Flor
6,Flor
6,Jimena
6,Roberto
6,Alberto
6,Flor
5,Alberto
5,Jimena
5,Roberto
5,Alberto
5,Alberto
5,Alberto
5,Flor
5,Roberto
5,Flor
5,Flor
5,Alberto
5,Jimena
5,Juan
5,Jimena
5,Roberto
5,Alberto
5,Juan
5,Flor
5,Alberto
5,Roberto
5,Flor
5,Juan
5,Roberto
5,Juan
5,Roberto
5,Flor
5,Jimena
5,Flor
5,Alberto
5,Juan
5,Jimena
5,Roberto
5,Juan
5,Alberto
5,Flor
5,Juan
5,Roberto
5,Jimena
5,Alberto
5,Alberto
5,Alberto
5,Roberto
5,Flor
5,Alberto
5,Alberto
5,Jimena
5,Alberto
5,Flor
5,Roberto
5,Juan
5,Jimena
5,Alberto
5,Roberto
5,Alberto
5,Juan
5,Jimena
5,Jimena
5,Roberto
5,Flor
5,Flor
5,Jimena
5,Juan
5,Flor
5,Flor
5,Flor
5,Juan
5,Juan
5,Jimena
5,Juan
5,Alberto
5,Jimena
5,Juan
5,Roberto
5,Juan
5,Flor
5,Alberto
5,Roberto
5,Flor
5,Flor
5,Alberto
5,Roberto
5,Alberto
5,Roberto
5,Juan
5,Alberto
5,Roberto
5,Roberto
5,Flor
5,Juan
5,Roberto
5,Jimena
5,Juan
5,Jimena
5,Juan
5,Flor
5,Flor
5,Alberto
5,Jimena
5,Roberto
5,Roberto
5,Roberto
5,Jimena
5,Juan
5,Jimena
5,Jimena
5,Flor
5,Flor
5,Jimena
5,Juan
5,Juan
5,Juan
5,Roberto
